ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0045785	positive regulation of cell adhesion	5/40	482/18614	0.00355383451743922	0.0222838197255084	0.0123964309173169	IL1B/IL6/RELA/SOCS1/TFRC	5
BP	GO:0014074	response to purine-containing compound	3/40	143/18614	0.0035628510236093	0.0222838197255084	0.0123964309173169	HSPA5/IL1B/PTGS2	3
BP	GO:0023061	signal release	5/40	483/18614	0.00358539136085755	0.022357858366661	0.0124376184206968	IL1B/IL6/MEF2C/PARK7/PTGS2	5
BP	GO:0098754	detoxification	3/40	144/18614	0.00363327662194864	0.0224276190033168	0.012476426081309	GSTZ1/PARK7/PTGS2	3
BP	GO:0045429	positive regulation of nitric oxide biosynthetic process	2/40	42/18614	0.00367173082773305	0.0224276190033168	0.012476426081309	IL1B/PTGS2	2
BP	GO:0046688	response to copper ion	2/40	42/18614	0.00367173082773305	0.0224276190033168	0.012476426081309	PARK7/TFRC	2
BP	GO:0050691	regulation of defense response to virus by host	2/40	42/18614	0.00367173082773305	0.0224276190033168	0.012476426081309	IL1B/TNFAIP3	2
BP	GO:0050999	regulation of nitric-oxide synthase activity	2/40	42/18614	0.00367173082773305	0.0224276190033168	0.012476426081309	EGFR/IL1B	2
BP	GO:0071354	cellular response to interleukin-6	2/40	42/18614	0.00367173082773305	0.0224276190033168	0.012476426081309	IL6/RELA	2
BP	GO:1900077	negative regulation of cellular response to insulin stimulus	2/40	42/18614	0.00367173082773305	0.0224276190033168	0.012476426081309	IL1B/SOCS1	2
BP	GO:0061008	hepaticobiliary system development	3/40	145/18614	0.00370455106310684	0.0225621200315749	0.0125512486532759	IL6/RELA/TNFAIP3	3
BP	GO:0045598	regulation of fat cell differentiation	3/40	146/18614	0.00377667756440992	0.0228680563247894	0.0127214402169597	IL6/PTGS2/ZFP36	3
BP	GO:0062013	positive regulation of small molecule metabolic process	3/40	146/18614	0.00377667756440992	0.0228680563247894	0.0127214402169597	IL1B/PARK7/PTGS2	3
BP	GO:0030217	T cell differentiation	4/40	300/18614	0.00382850624766677	0.0229115051404741	0.012745610680045	FZD7/IL1B/IL6/SOCS1	4
BP	GO:0022407	regulation of cell-cell adhesion	5/40	491/18614	0.00384518369671031	0.0229115051404741	0.012745610680045	IL1B/IL6/RELA/SOCS1/TFRC	5
BP	GO:0014002	astrocyte development	2/40	43/18614	0.00384562574593925	0.0229115051404741	0.012745610680045	IL1B/IL6	2
BP	GO:0071364	cellular response to epidermal growth factor stimulus	2/40	43/18614	0.00384562574593925	0.0229115051404741	0.012745610680045	EGFR/ZFP36	2
BP	GO:0071604	transforming growth factor beta production	2/40	43/18614	0.00384562574593925	0.0229115051404741	0.012745610680045	FURIN/PTGS2	2
BP	GO:0045667	regulation of osteoblast differentiation	3/40	147/18614	0.00384965931273643	0.0229115051404741	0.012745610680045	DDR2/IL6/MEF2C	3
BP	GO:0002705	positive regulation of leukocyte mediated immunity	3/40	148/18614	0.00392349946465089	0.0232186696364184	0.012916485489711	IL1B/IL6/TFRC	3
BP	GO:0031333	negative regulation of protein-containing complex assembly	3/40	148/18614	0.00392349946465089	0.0232186696364184	0.012916485489711	HSPA5/PARK7/ULK1	3
BP	GO:0002253	activation of immune response	5/40	495/18614	0.0039800484592478	0.0232816256374778	0.0129515077492507	IL1B/MEF2C/RELA/TBK1/TNFAIP3	5
BP	GO:0016049	cell growth	5/40	495/18614	0.0039800484592478	0.0232816256374778	0.0129515077492507	CDKN1A/CDKN2A/EGFR/MEG3/ULK1	5
BP	GO:0071456	cellular response to hypoxia	3/40	149/18614	0.00399820114653699	0.0232816256374778	0.0129515077492507	DDR2/NDRG1/PTGS2	3
BP	GO:0034504	protein localization to nucleus	4/40	304/18614	0.0040131304350608	0.0232816256374778	0.0129515077492507	CDKN1A/PARK7/PTGS2/TFRC	4
BP	GO:0048872	homeostasis of number of cells	4/40	304/18614	0.0040131304350608	0.0232816256374778	0.0129515077492507	IL6/MEF2C/TNFAIP3/ZFP36	4
BP	GO:0006509	membrane protein ectodomain proteolysis	2/40	44/18614	0.00402329672337458	0.0232816256374778	0.0129515077492507	FURIN/IL1B	2
BP	GO:1903573	negative regulation of response to endoplasmic reticulum stress	2/40	44/18614	0.00402329672337458	0.0232816256374778	0.0129515077492507	HSPA5/PARK7	2
BP	GO:1904407	positive regulation of nitric oxide metabolic process	2/40	44/18614	0.00402329672337458	0.0232816256374778	0.0129515077492507	IL1B/PTGS2	2
BP	GO:0010876	lipid localization	5/40	497/18614	0.00404874367443631	0.0233641589389432	0.0129974208100543	FURIN/IL1B/IL6/PTGS2/SCP2	5
BP	GO:0050768	negative regulation of neurogenesis	3/40	150/18614	0.0040737674547302	0.0234438022394804	0.0130417261708631	IL1B/IL6/ULK1	3
BP	GO:0036293	response to decreased oxygen levels	4/40	306/18614	0.00410767367645983	0.0235739843684741	0.0131141461504096	DDR2/NDRG1/PTGS2/TFRC	4
BP	GO:0070741	response to interleukin-6	2/40	45/18614	0.00420472755876623	0.0239991143996247	0.0133506448802931	IL6/RELA	2
BP	GO:1904706	negative regulation of vascular associated smooth muscle cell proliferation	2/40	45/18614	0.00420472755876623	0.0239991143996247	0.0133506448802931	CDKN1A/MEF2C	2
BP	GO:0001890	placenta development	3/40	152/18614	0.00422750618593154	0.0240633798975776	0.0133863956095466	DAZAP1/EGFR/PTGS2	3
BP	GO:0032368	regulation of lipid transport	3/40	153/18614	0.00430568465255724	0.024375542653637	0.0135600509383061	FURIN/IL1B/SCP2	3
BP	GO:0046718	viral entry into host cell	3/40	153/18614	0.00430568465255724	0.024375542653637	0.0135600509383061	EGFR/FURIN/TFRC	3
BP	GO:0010712	regulation of collagen metabolic process	2/40	46/18614	0.00438990210000912	0.0247183436305096	0.0137507502295647	DDR2/IL6	2
BP	GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	2/40	46/18614	0.00438990210000912	0.0247183436305096	0.0137507502295647	IL6/SOCS1	2
BP	GO:0051961	negative regulation of nervous system development	3/40	156/18614	0.00454549209827476	0.0253716765670954	0.0141141976418197	IL1B/IL6/ULK1	3
BP	GO:0070372	regulation of ERK1 and ERK2 cascade	4/40	315/18614	0.00455187518475506	0.0253716765670954	0.0141141976418197	ATF3/DDR2/EGFR/IL1B	4
BP	GO:0002861	regulation of inflammatory response to antigenic stimulus	2/40	47/18614	0.00457880424403781	0.0253716765670954	0.0141141976418197	FURIN/PARK7	2
BP	GO:0046677	response to antibiotic	2/40	47/18614	0.00457880424403781	0.0253716765670954	0.0141141976418197	HSPA5/MEF2C	2
BP	GO:0070849	response to epidermal growth factor	2/40	47/18614	0.00457880424403781	0.0253716765670954	0.0141141976418197	EGFR/ZFP36	2
BP	GO:0140353	lipid export from cell	2/40	47/18614	0.00457880424403781	0.0253716765670954	0.0141141976418197	IL1B/PTGS2	2
BP	GO:0036294	cellular response to decreased oxygen levels	3/40	157/18614	0.00462719499161448	0.0255719850197954	0.0142256287127329	DDR2/NDRG1/PTGS2	3
BP	GO:0050890	cognition	4/40	317/18614	0.00465482159363301	0.025656787095249	0.0142728038866014	EGFR/MEF2C/PGRMC1/PTGS2	4
BP	GO:0032309	icosanoid secretion	2/40	48/18614	0.00477141793669876	0.0262302422888519	0.0145918155183253	IL1B/PTGS2	2
BP	GO:0016241	regulation of macroautophagy	3/40	159/18614	0.00479326860317722	0.0262812023937985	0.0146201644920781	SNX5/TBK1/ULK1	3
BP	GO:0019058	viral life cycle	4/40	320/18614	0.00481217724435154	0.0263158069723832	0.0146394149290827	ATG16L1/EGFR/FURIN/TFRC	4
BP	GO:0044409	entry into host	3/40	160/18614	0.00487764495625123	0.0266041783645139	0.0147998351840081	EGFR/FURIN/TFRC	3
BP	GO:0035051	cardiocyte differentiation	3/40	161/18614	0.0049629180496392	0.0268444008556426	0.0149334703306187	EGFR/FZD7/MEF2C	3
BP	GO:0034198	cellular response to amino acid starvation	2/40	49/18614	0.00496772717262289	0.0268444008556426	0.0149334703306187	ATF3/CDKN1A	2
BP	GO:1904752	regulation of vascular associated smooth muscle cell migration	2/40	49/18614	0.00496772717262289	0.0268444008556426	0.0149334703306187	DDR2/MEF2C	2
BP	GO:0009416	response to light stimulus	4/40	323/18614	0.00497308910059056	0.0268444008556426	0.0149334703306187	CDKN1A/EGFR/PTGS2/RELA	4
BP	GO:0006692	prostanoid metabolic process	2/40	50/18614	0.00516771599509837	0.0276096130786713	0.0153591558987444	IL1B/PTGS2	2
BP	GO:0006693	prostaglandin metabolic process	2/40	50/18614	0.00516771599509837	0.0276096130786713	0.0153591558987444	IL1B/PTGS2	2
BP	GO:0042304	regulation of fatty acid biosynthetic process	2/40	50/18614	0.00516771599509837	0.0276096130786713	0.0153591558987444	IL1B/PTGS2	2
BP	GO:1904894	positive regulation of receptor signaling pathway via STAT	2/40	50/18614	0.00516771599509837	0.0276096130786713	0.0153591558987444	IL6/SOCS1	2
BP	GO:1901214	regulation of neuron death	4/40	327/18614	0.0051932337295026	0.0276751664819667	0.015395623086388	DDR2/MEF2C/PARK7/TBK1	4
BP	GO:0035966	response to topologically incorrect protein	3/40	164/18614	0.00522414508943674	0.0276912675779151	0.0154045800841593	ATF3/HSPA5/PARP6	3
BP	GO:0006913	nucleocytoplasmic transport	4/40	328/18614	0.00524927810476514	0.0276912675779151	0.0154045800841593	CDKN1A/IL1B/PARK7/PTGS2	4
BP	GO:0046394	carboxylic acid biosynthetic process	4/40	328/18614	0.00524927810476514	0.0276912675779151	0.0154045800841593	IL1B/PARK7/PTGS2/SCP2	4
BP	GO:0051169	nuclear transport	4/40	328/18614	0.00524927810476514	0.0276912675779151	0.0154045800841593	CDKN1A/IL1B/PARK7/PTGS2	4
BP	GO:0001959	regulation of cytokine-mediated signaling pathway	3/40	165/18614	0.00531303232051861	0.0279569887092277	0.0155524000579413	IL6/TBK1/TNFAIP3	3
BP	GO:0032964	collagen biosynthetic process	2/40	51/18614	0.0053713684959438	0.0279820169277471	0.0155663231907651	DDR2/IL6	2
BP	GO:1901799	negative regulation of proteasomal protein catabolic process	2/40	51/18614	0.0053713684959438	0.0279820169277471	0.0155663231907651	GABARAPL2/PARK7	2
BP	GO:1902895	positive regulation of miRNA transcription	2/40	51/18614	0.0053713684959438	0.0279820169277471	0.0155663231907651	EGFR/RELA	2
BP	GO:1904738	vascular associated smooth muscle cell migration	2/40	51/18614	0.0053713684959438	0.0279820169277471	0.0155663231907651	DDR2/MEF2C	2
BP	GO:0031960	response to corticosteroid	3/40	166/18614	0.00540282973926315	0.0280758988192058	0.015618549442646	IL6/PTGS2/ZFP36	3
BP	GO:0016053	organic acid biosynthetic process	4/40	331/18614	0.00541985245627112	0.0280944709209687	0.0156288810545209	IL1B/PARK7/PTGS2/SCP2	4
BP	GO:0032386	regulation of intracellular transport	4/40	332/18614	0.00547752876828294	0.028323162368671	0.0157561015116841	IL1B/PARK7/PTGS2/SCP2	4
BP	GO:0070482	response to oxygen levels	4/40	333/18614	0.00553561639518078	0.0285528460482288	0.0158838739448462	DDR2/NDRG1/PTGS2/TFRC	4
BP	GO:0006636	unsaturated fatty acid biosynthetic process	2/40	52/18614	0.00557866881538166	0.0287040373284047	0.0159679812605169	IL1B/PTGS2	2
BP	GO:0007254	JNK cascade	3/40	170/18614	0.00577117298334669	0.0296215733715264	0.0164784041733215	EGFR/FZD7/IL1B	3
BP	GO:0002639	positive regulation of immunoglobulin production	2/40	53/18614	0.00578960114191201	0.0296433254545446	0.0164905048004924	IL6/TFRC	2
BP	GO:0048545	response to steroid hormone	4/40	339/18614	0.0058928537147134	0.0299517552555628	0.0166620834960779	IL6/PARK7/PTGS2/ZFP36	4
BP	GO:0071214	cellular response to abiotic stimulus	4/40	339/18614	0.0058928537147134	0.0299517552555628	0.0166620834960779	CDKN1A/HSPA5/IL1B/PTGS2	4
BP	GO:0104004	cellular response to environmental stimulus	4/40	339/18614	0.0058928537147134	0.0299517552555628	0.0166620834960779	CDKN1A/HSPA5/IL1B/PTGS2	4
BP	GO:0071453	cellular response to oxygen levels	3/40	172/18614	0.00596087215987623	0.0302239367523821	0.0168134973543775	DDR2/NDRG1/PTGS2	3
BP	GO:0014009	glial cell proliferation	2/40	54/18614	0.00600414971218658	0.0303524786095414	0.0168850048549715	IL1B/IL6	2
BP	GO:0070371	ERK1 and ERK2 cascade	4/40	341/18614	0.00601528297958359	0.0303524786095414	0.0168850048549715	ATF3/DDR2/EGFR/IL1B	4
BP	GO:0031214	biomineral tissue development	3/40	173/18614	0.00605711229864982	0.0304898978117578	0.0169614507995166	DDR2/MEF2C/PTGS2	3
BP	GO:0019755	one-carbon compound transport	2/40	55/18614	0.00622229881088309	0.030948529085559	0.0172165861834961	CYB5R1/SLC39A14	2
BP	GO:0050805	negative regulation of synaptic transmission	2/40	55/18614	0.00622229881088309	0.030948529085559	0.0172165861834961	IL1B/PTGS2	2
BP	GO:0061900	glial cell activation	2/40	55/18614	0.00622229881088309	0.030948529085559	0.0172165861834961	IL1B/IL6	2
BP	GO:1900087	positive regulation of G1/S transition of mitotic cell cycle	2/40	55/18614	0.00622229881088309	0.030948529085559	0.0172165861834961	DDR2/EGFR	2
BP	GO:1903202	negative regulation of oxidative stress-induced cell death	2/40	55/18614	0.00622229881088309	0.030948529085559	0.0172165861834961	DDR2/PARK7	2
BP	GO:0051235	maintenance of location	4/40	347/18614	0.00639276653451843	0.0317208771748432	0.0176462414154478	HSPA5/IL1B/IL6/PARK7	4
BP	GO:0038066	p38MAPK cascade	2/40	56/18614	0.00644403277057989	0.0317853135166035	0.0176820871846667	IL1B/ZFP36	2
BP	GO:0065002	intracellular protein transmembrane transport	2/40	56/18614	0.00644403277057989	0.0317853135166035	0.0176820871846667	HSPA5/PEX2	2
BP	GO:0060759	regulation of response to cytokine stimulus	3/40	177/18614	0.00645139920107224	0.0317853135166035	0.0176820871846667	IL6/TBK1/TNFAIP3	3
BP	GO:0045765	regulation of angiogenesis	4/40	349/18614	0.00652202715929994	0.0320557013223282	0.0178325032172786	IL1B/IL6/MTDH/TNFAIP3	4
BP	GO:0032635	interleukin-6 production	3/40	178/18614	0.00655231424826909	0.0320557013223282	0.0178325032172786	IL1B/IL6/TNFAIP3	3
BP	GO:0032675	regulation of interleukin-6 production	3/40	178/18614	0.00655231424826909	0.0320557013223282	0.0178325032172786	IL1B/IL6/TNFAIP3	3
BP	GO:0006749	glutathione metabolic process	2/40	57/18614	0.00666933597163088	0.0323253894309441	0.01798253001021	GSTZ1/PARK7	2
BP	GO:0007566	embryo implantation	2/40	57/18614	0.00666933597163088	0.0323253894309441	0.01798253001021	IL1B/PTGS2	2
BP	GO:0010332	response to gamma radiation	2/40	57/18614	0.00666933597163088	0.0323253894309441	0.01798253001021	CDKN1A/HSPA5	2
BP	GO:0061756	leukocyte adhesion to vascular endothelial cell	2/40	57/18614	0.00666933597163088	0.0323253894309441	0.01798253001021	IL6/RELA	2
BP	GO:0045787	positive regulation of cell cycle	4/40	354/18614	0.00685278403031056	0.0331376524058305	0.0184343897891395	BRD4/DDR2/EGFR/IL1B	4
BP	GO:0010718	positive regulation of epithelial to mesenchymal transition	2/40	58/18614	0.0068981928420408	0.0332801959515548	0.0185136863926414	IL1B/IL6	2
BP	GO:1901342	regulation of vasculature development	4/40	355/18614	0.00692024920204081	0.0333096787628186	0.0185300876038153	IL1B/IL6/MTDH/TNFAIP3	4
BP	GO:0042129	regulation of T cell proliferation	3/40	183/18614	0.00707106312625004	0.0339573583235318	0.018890390057786	IL1B/IL6/TFRC	3
BP	GO:0006611	protein export from nucleus	2/40	59/18614	0.00713058785734066	0.0340086713104672	0.0189189353388707	IL1B/PARK7	2
BP	GO:0033619	membrane protein proteolysis	2/40	59/18614	0.00713058785734066	0.0340086713104672	0.0189189353388707	FURIN/IL1B	2
BP	GO:1903053	regulation of extracellular matrix organization	2/40	59/18614	0.00713058785734066	0.0340086713104672	0.0189189353388707	DDR2/IL6	2
BP	GO:0002706	regulation of lymphocyte mediated immunity	3/40	184/18614	0.00717766304660158	0.0341552120828034	0.0190004555891335	IL1B/IL6/TFRC	3
BP	GO:0032640	tumor necrosis factor production	3/40	185/18614	0.00728521803328857	0.0344317205238458	0.0191542765152431	IL6/TNFAIP3/ZFP36	3
BP	GO:0032680	regulation of tumor necrosis factor production	3/40	185/18614	0.00728521803328857	0.0344317205238458	0.0191542765152431	IL6/TNFAIP3/ZFP36	3
BP	GO:0044000	movement in host	3/40	185/18614	0.00728521803328857	0.0344317205238458	0.0191542765152431	EGFR/FURIN/TFRC	3
BP	GO:0046824	positive regulation of nucleocytoplasmic transport	2/40	60/18614	0.00736650554046365	0.0345536965497706	0.0192221314610097	IL1B/PTGS2	2
BP	GO:1903078	positive regulation of protein localization to plasma membrane	2/40	60/18614	0.00736650554046365	0.0345536965497706	0.0192221314610097	EGFR/PGRMC1	2
BP	GO:2000630	positive regulation of miRNA metabolic process	2/40	60/18614	0.00736650554046365	0.0345536965497706	0.0192221314610097	EGFR/RELA	2
BP	GO:0043405	regulation of MAP kinase activity	3/40	186/18614	0.0073937301856139	0.0345536965497706	0.0192221314610097	EGFR/IL1B/MEF2C	3
BP	GO:0051896	regulation of protein kinase B signaling	3/40	186/18614	0.0073937301856139	0.0345536965497706	0.0192221314610097	EGFR/MTDH/PARK7	3
BP	GO:0007565	female pregnancy	3/40	187/18614	0.00750320157743942	0.0349091048892449	0.0194198441952716	DAZAP1/IL1B/PTGS2	3
BP	GO:0050728	negative regulation of inflammatory response	3/40	187/18614	0.00750320157743942	0.0349091048892449	0.0194198441952716	FURIN/TNFAIP3/ZFP36	3
BP	GO:0046456	icosanoid biosynthetic process	2/40	61/18614	0.00760593046162125	0.0352301302313233	0.0195984297575677	IL1B/PTGS2	2
BP	GO:0060135	maternal process involved in female pregnancy	2/40	61/18614	0.00760593046162125	0.0352301302313233	0.0195984297575677	DAZAP1/PTGS2	2
BP	GO:0002700	regulation of production of molecular mediator of immune response	3/40	189/18614	0.00772503024853331	0.0357026287371374	0.019861279446625	IL1B/IL6/TFRC	3
BP	GO:0071706	tumor necrosis factor superfamily cytokine production	3/40	190/18614	0.00783739154936857	0.036035696440785	0.0200465641433205	IL6/TNFAIP3/ZFP36	3
BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	3/40	190/18614	0.00783739154936857	0.036035696440785	0.0200465641433205	IL6/TNFAIP3/ZFP36	3
BP	GO:0045428	regulation of nitric oxide biosynthetic process	2/40	62/18614	0.0078488472381796	0.036035696440785	0.0200465641433205	IL1B/PTGS2	2
BP	GO:0071478	cellular response to radiation	3/40	191/18614	0.00795072013306925	0.0364233648201352	0.0202622230538053	CDKN1A/HSPA5/PTGS2	3
BP	GO:0018108	peptidyl-tyrosine phosphorylation	4/40	370/18614	0.00798581253858447	0.036504075258431	0.0203071220605718	DDR2/EGFR/IL6/SOCS1	4
BP	GO:0001818	negative regulation of cytokine production	4/40	371/18614	0.00806047726037576	0.0367649279408842	0.020452233728924	FURIN/IL6/TNFAIP3/ZFP36	4
BP	GO:0051353	positive regulation of oxidoreductase activity	2/40	63/18614	0.0080952405345362	0.0368430446114295	0.0204956898294415	IL1B/PARK7	2
BP	GO:0018212	peptidyl-tyrosine modification	4/40	372/18614	0.00813560212047125	0.0369462452818792	0.0205531000938221	DDR2/EGFR/IL6/SOCS1	4
BP	GO:0032872	regulation of stress-activated MAPK cascade	3/40	193/18614	0.00818028691791668	0.037068588658412	0.0206211593957758	EGFR/FZD7/IL1B	3
BP	GO:0008544	epidermis development	4/40	375/18614	0.0083637492203275	0.0378179050243813	0.0210380021399899	ALDH3A2/EGFR/RELA/ZFP36	4
BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	3/40	195/18614	0.00841374589399227	0.0379618038284014	0.0211180526701545	EGFR/IL1B/MEF2C	3
BP	GO:0050863	regulation of T cell activation	4/40	377/18614	0.00851816933559775	0.0382986105838106	0.0213054173916137	IL1B/IL6/SOCS1/TFRC	4
BP	GO:0070302	regulation of stress-activated protein kinase signaling cascade	3/40	196/18614	0.00853193962478297	0.0382986105838106	0.0213054173916137	EGFR/FZD7/IL1B	3
BP	GO:0006879	intracellular iron ion homeostasis	2/40	65/18614	0.0085983955786535	0.0382986105838106	0.0213054173916137	SLC39A14/TFRC	2
BP	GO:0032507	maintenance of protein location in cell	2/40	65/18614	0.0085983955786535	0.0382986105838106	0.0213054173916137	HSPA5/PARK7	2
BP	GO:0071715	icosanoid transport	2/40	65/18614	0.0085983955786535	0.0382986105838106	0.0213054173916137	IL1B/PTGS2	2
BP	GO:0080164	regulation of nitric oxide metabolic process	2/40	65/18614	0.0085983955786535	0.0382986105838106	0.0213054173916137	IL1B/PTGS2	2
BP	GO:0030073	insulin secretion	3/40	197/18614	0.0086511119599118	0.0383697938094602	0.0213450164347807	IL1B/IL6/PARK7	3
BP	GO:0032388	positive regulation of intracellular transport	3/40	197/18614	0.0086511119599118	0.0383697938094602	0.0213450164347807	IL1B/PTGS2/SCP2	3
BP	GO:0050767	regulation of neurogenesis	4/40	381/18614	0.00883262391672252	0.0390260761005599	0.0217101045652758	IL1B/IL6/PARP6/ULK1	4
BP	GO:0010812	negative regulation of cell-substrate adhesion	2/40	66/18614	0.0088551268892606	0.0390260761005599	0.0217101045652758	CDKN2A/FZD7	2
BP	GO:1903051	negative regulation of proteolysis involved in protein catabolic process	2/40	66/18614	0.0088551268892606	0.0390260761005599	0.0217101045652758	GABARAPL2/PARK7	2
BP	GO:1902074	response to salt	4/40	383/18614	0.00899267660920414	0.039548845129742	0.0220009196156485	HSPA5/IL1B/MEF2C/PTGS2	4
BP	GO:0071806	protein transmembrane transport	2/40	67/18614	0.00911527384511425	0.0400037963496716	0.0222540077952369	HSPA5/PEX2	2
BP	GO:0016925	protein sumoylation	2/40	68/18614	0.00937882134392968	0.0407325525727008	0.0226594129854434	PARK7/RELA	2
BP	GO:0035914	skeletal muscle cell differentiation	2/40	68/18614	0.00937882134392968	0.0407325525727008	0.0226594129854434	ATF3/MEF2C	2
BP	GO:1902808	positive regulation of cell cycle G1/S phase transition	2/40	68/18614	0.00937882134392968	0.0407325525727008	0.0226594129854434	DDR2/EGFR	2
BP	GO:1902893	regulation of miRNA transcription	2/40	68/18614	0.00937882134392968	0.0407325525727008	0.0226594129854434	EGFR/RELA	2
BP	GO:1904377	positive regulation of protein localization to cell periphery	2/40	68/18614	0.00937882134392968	0.0407325525727008	0.0226594129854434	EGFR/PGRMC1	2
BP	GO:0044282	small molecule catabolic process	4/40	388/18614	0.0094011212926114	0.0407446937349901	0.0226661670824263	GSTZ1/PARK7/PEX2/SCP2	4
BP	GO:1902075	cellular response to salt	3/40	204/18614	0.00951286754544004	0.0411436445184767	0.0228881023649685	HSPA5/MEF2C/PTGS2	3
BP	GO:0002711	positive regulation of T cell mediated immunity	2/40	69/18614	0.00964575432971989	0.0413757305847738	0.0230172112396212	IL1B/IL6	2
BP	GO:0006081	cellular aldehyde metabolic process	2/40	69/18614	0.00964575432971989	0.0413757305847738	0.0230172112396212	ALDH3A2/PARK7	2
BP	GO:0014015	positive regulation of gliogenesis	2/40	69/18614	0.00964575432971989	0.0413757305847738	0.0230172112396212	IL1B/IL6	2
BP	GO:0061614	miRNA transcription	2/40	69/18614	0.00964575432971989	0.0413757305847738	0.0230172112396212	EGFR/RELA	2
BP	GO:0051701	biological process involved in interaction with host	3/40	206/18614	0.00976798954892386	0.0418142011633237	0.0232611312813027	EGFR/FURIN/TFRC	3
BP	GO:0044703	multi-organism reproductive process	3/40	207/18614	0.00989704308256394	0.0420175349470522	0.0233742453359934	DAZAP1/IL1B/PTGS2	3
BP	GO:0032722	positive regulation of chemokine production	2/40	70/18614	0.00991605779267437	0.0420175349470522	0.0233742453359934	IL1B/IL6	2
BP	GO:0043112	receptor metabolic process	2/40	70/18614	0.00991605779267437	0.0420175349470522	0.0233742453359934	FURIN/PEX2	2
BP	GO:0043687	post-translational protein modification	2/40	70/18614	0.00991605779267437	0.0420175349470522	0.0233742453359934	ATG16L1/PARP6	2
BP	GO:2000379	positive regulation of reactive oxygen species metabolic process	2/40	70/18614	0.00991605779267437	0.0420175349470522	0.0233742453359934	CDKN1A/PARK7	2
BP	GO:0045732	positive regulation of protein catabolic process	3/40	209/18614	0.0101581430435018	0.0429561959876016	0.023896420029887	FURIN/IL1B/TNFAIP3	3
BP	GO:0045600	positive regulation of fat cell differentiation	2/40	71/18614	0.010189716769038	0.0430026632939807	0.0239222696714896	PTGS2/ZFP36	2
BP	GO:0002260	lymphocyte homeostasis	2/40	72/18614	0.0104667163409907	0.0439939042984499	0.0244736944624669	MEF2C/TNFAIP3	2
BP	GO:0030330	DNA damage response, signal transduction by p53 class mediator	2/40	72/18614	0.0104667163409907	0.0439939042984499	0.0244736944624669	CDKN1A/NDRG1	2
BP	GO:0031396	regulation of protein ubiquitination	3/40	213/18614	0.0106923569459355	0.0447621917035254	0.0249010907463617	HSPA5/PARK7/TNFAIP3	3
BP	GO:0042098	T cell proliferation	3/40	213/18614	0.0106923569459355	0.0447621917035254	0.0249010907463617	IL1B/IL6/TFRC	3
BP	GO:0042246	tissue regeneration	2/40	73/18614	0.0107470416365266	0.044811516923561	0.0249285302378934	CDKN1A/FZD7	2
BP	GO:0071260	cellular response to mechanical stimulus	2/40	73/18614	0.0107470416365266	0.044811516923561	0.0249285302378934	IL1B/PTGS2	2
BP	GO:0045786	negative regulation of cell cycle	4/40	404/18614	0.0107893597962454	0.0448983518214278	0.0249768362655797	CDKN1A/CDKN2A/PTGS2/TNFAIP3	4
BP	GO:0042180	cellular ketone metabolic process	3/40	216/18614	0.0111035755311307	0.04602255810423	0.0256022292948376	IL1B/PARK7/PTGS2	3
BP	GO:0044706	multi-multicellular organism process	3/40	216/18614	0.0111035755311307	0.04602255810423	0.0256022292948376	DAZAP1/IL1B/PTGS2	3
BP	GO:0007033	vacuole organization	3/40	217/18614	0.0112426669479117	0.046441230210421	0.0258351354978734	ATG16L1/GABARAPL2/ULK1	3
BP	GO:0043254	regulation of protein-containing complex assembly	4/40	409/18614	0.0112490485813657	0.046441230210421	0.0258351354978734	HSPA5/PARK7/TFRC/ULK1	4
BP	GO:0016239	positive regulation of macroautophagy	2/40	75/18614	0.0113176101386766	0.0464488950485176	0.0258393994273581	TBK1/ULK1	2
BP	GO:0042058	regulation of epidermal growth factor receptor signaling pathway	2/40	75/18614	0.0113176101386766	0.0464488950485176	0.0258393994273581	EGFR/SNX5	2
BP	GO:0071479	cellular response to ionizing radiation	2/40	75/18614	0.0113176101386766	0.0464488950485176	0.0258393994273581	CDKN1A/HSPA5	2
BP	GO:0002637	regulation of immunoglobulin production	2/40	76/18614	0.0116078238292718	0.0473608280846654	0.0263467054019655	IL6/TFRC	2
BP	GO:0006635	fatty acid beta-oxidation	2/40	76/18614	0.0116078238292718	0.0473608280846654	0.0263467054019655	PEX2/SCP2	2
BP	GO:0007422	peripheral nervous system development	2/40	76/18614	0.0116078238292718	0.0473608280846654	0.0263467054019655	ALDH3A2/NDRG1	2
BP	GO:0006809	nitric oxide biosynthetic process	2/40	77/18614	0.0119013042111733	0.048463595510996	0.026960172051165	IL1B/PTGS2	2
BP	GO:0002437	inflammatory response to antigenic stimulus	2/40	78/18614	0.0121980366396515	0.0494790262917125	0.0275250535517123	FURIN/PARK7	2
BP	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	2/40	78/18614	0.0121980366396515	0.0494790262917125	0.0275250535517123	PARK7/PTGS2	2
BP	GO:0033157	regulation of intracellular protein transport	3/40	224/18614	0.0122447020936714	0.0495720594451154	0.0275768076528218	IL1B/PARK7/PTGS2	3
